Name,description,detection_result,detection_method,product_detection_result,impact,solution,insight,log_method,cvss,port,protocol,severity,references,plugin,identification,http_info,source,llm,target,host,cve,Quality of Detection (QoD),summary,quality_of_detection,urls,cert-bund,dfn-cert
PHP End of Life (EOL) Detection - Linux,['The PHP version on the remote host has reached the end of life (EOL) and should not be used anymore.'],"['The ""PHP"" version on the remote host has reached the end of life.', 'CPE: cpe:/a:php:php:5.5.9', 'Installed version: 5.5.9', 'EOL version: 5.5', 'EOL date: 2016-07-21']",['Checks if an EOL version is present on the target host.'],"['Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722']",['An EOL version of PHP is not receiving any security updates from the vendor. Unxed security vulnerabilities might be leveraged by an attacker to compromise the security of this host.'],['Update the PHP version on the remote host to a still supported version.'],"['Each release branch of PHP is fully supported for two years from its initial stable release. During this period, bugs and security issues that have been reported are xed and are released in regular point releases.', 'After this two year period of active support, each branch is then supported for an additional year for critical security issues only. Releases during this period are made on an as-needed basis: there may be multiple point releases, or none, depending on the number of reports.', 'Once the three years of support are completed, the branch reaches its end of life and is no longer supported.']",[],['7.0'],,,HIGH,[],[],[],[],OPENVAS,llama4,openvas_acgpiano_sqli-labs,172.31.1.107,,,,,,,
"PHP < 5.5.37, 5.6.x < 5.6.23 Multiple Vulnerabilities (Aug 2016) - Linux",['PHP is prone to multiple vulnerabilities.'],"['Installed version: 5.5.9', 'Fixed version: 5.5.37']",['Checks if a vulnerable version is present on the target host.'],['cpe:/a:php:php:5.5.9'],['Successfully exploiting these issues allow remote attackers to cause a denial of service (use-after-free and application crash) or possibly execute arbitrary code or possibly have unspecified other impact via a large integer argument.'],"['Update to version 5.5.37, 5.6.23 or later.']","[""The 'spl_array.c' in the SPL extension improperly interacts with the unserialize implementation and garbage collection."", ""Integer overflow in the 'SplFileObject::fread' function in 'spl_directory.c' in the SPL extension.""]",[],['9.8'],80.0,tcp,CRITICAL,"['url: https://secure.php.net/supported-versions.php', 'url: https://secure.php.net/eol.php']",[],[],[],OPENVAS,llama4,openvas_acgpiano_sqli-labs,172.31.1.107,,,,,,,
"PHP < 5.5.37, 5.6.x < 5.6.23 Multiple Vulnerabilities (Aug 2016) - Linux",['PHP is prone to multiple vulnerabilities.'],"['Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722']",[],"['Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722']",[],[],[],[],['9.8'],,,CRITICAL,"['cve: CVE-2016-5770', 'cve: CVE-2016-5771', 'url: http://www.php.net/ChangeLog-5.php', 'url: http://www.securityfocus.com/bid/91401', 'url: http://www.securityfocus.com/bid/91403', 'cert-bund: CB-K16/2012', 'cert-bund: CB-K16/1776', 'cert-bund: CB-K16/1452', 'cert-bund: CB-K16/1179', 'cert-bund: CB-K16/1106', 'cert-bund: CB-K16/1070', 'cert-bund: CB-K16/1030', 'cert-bund: CB-K16/0965', 'dfn-cert: DFN-CERT-2018-0576', 'dfn-cert: DFN-CERT-2016-2125', 'dfn-cert: DFN-CERT-2016-1882', 'dfn-cert: DFN-CERT-2016-1541', 'dfn-cert: DFN-CERT-2016-1253', 'dfn-cert: DFN-CERT-2016-1178', 'dfn-cert: DFN-CERT-2016-1139', 'dfn-cert: DFN-CERT-2016-1097', 'dfn-cert: DFN-CERT-2016-1022']",[],[],[],OPENVAS,llama4,openvas_acgpiano_sqli-labs,172.31.1.107,,,,,,,
PHP Multiple Vulnerabilities (Feb 2019) - Linux,['PHP is prone to multiple vulnerabilities.'],"['Product: cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)']",[],"['Product: cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)']",[],[],[],[],['9.8'],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_acgpiano_sqli-labs,172.31.1.107,,,,,,,
PHP Multiple Vulnerabilities (Feb 2019) - Linux,['PHP is prone to multiple vulnerabilities.'],"['Installed version: 5.5.9', 'Fixed version: 5.6.40', 'Installation path / port: 80/tcp']",['Checks if a vulnerable version is present on the target host.'],"['Product: cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)']",[],"['Update to version 5.6.40, 7.1.16, 7.2.14, 7.3.1 or later.']","['The following aws exist:', '- Fixed bug #77269 (efree() on uninitialized Heap data in imagescale leads to use-after-free). (CVE-2016-10166)', '- Fixed bug #77270 (imagecolormatch Out Of Bounds Write on Heap). (CVE-2019-6977)', '- Fixed bug #77370 (Buer overow on mb regex functions - fetch_token). (CVE-2019-9023)', '- Fixed bug #77371 (heap buer overow in mb regex functions - compile_string_node). (CVE-2019-9023)', '- Fixed bug #77381 (heap buer overow in multibyte match_at). (CVE-2019-9023)', '- Fixed bug #77382 (heap buer overow due to incorrect length in expand_case_fold_string). (CVE-2019-9023)', '- Fixed bug #77385 (buer overow in fetch_token). (CVE-2019-9023)', '- Fixed bug #77394 (Buer overow in multibyte case folding - unicode). (CVE-2019-9023)', '- Fixed bug #77418 (Heap overow in utf32be_mbc_to_code). (CVE-2019-9023)', '- Fixed bug #77247 (heap buer overow in phar_detect_phar_fname_ext). (CVE-2019-9021)', '- Fixed bug #77242 (heap out of bounds read in xmlrpc_decode()). (CVE-2019-9020)', '- Fixed bug #77380 (Global out of bounds read in xmlrpc base64 code). (CVE-2019-9024)']",[],['7.5'],80.0,tcp,HIGH,"['cve: CVE-2016-10166', 'cve: CVE-2019-6977', 'cve: CVE-2019-9023', 'cve: CVE-2019-9021', 'cve: CVE-2019-9020', 'cve: CVE-2019-9024']",[],[],[],OPENVAS,llama4,openvas_acgpiano_sqli-labs,172.31.1.107,,,,,,,
PHP Detection Consolidation,"['PHP is prone to an XML external entity (XXE) vulnerability.', 'Consolidation of PHP detections.']","['Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'cpe:/a:php:php:5.5.9', 'Detected PHP Version: 5.5.9', 'Location: 80/tcp', 'CPE: cpe:/a:php:php:5.5.9', 'Concluded from version/product identification result: X-Powered-By: PHP/5.5.9-1ubuntu4.13', 'Concluded from version/product identification location: http://sqli.trabalho_vulnnet/Less-2/']",[],"['Product: cpe:/a:php:php:5.5.9', 'cpe:/a:php:php:5.5.9']",[],[],[],[],"['9.8', '7.5', '9.6', '0.0']",,,CRITICAL,"['CVE-2016-10166', 'CVE-2019-6977', 'CVE-2019-9020', 'CVE-2019-9021', 'CVE-2019-9023', 'CVE-2019-9024', 'http://www.php.net/ChangeLog-5.php', 'http://www.php.net/ChangeLog-7.php', 'https://bugs.php.net/bug.php?id=77269', 'https://bugs.php.net/bug.php?id=77270', 'https://bugs.php.net/bug.php?id=77370', 'https://bugs.php.net/bug.php?id=77371', 'https://bugs.php.net/bug.php?id=77381', 'https://bugs.php.net/bug.php?id=77382', 'https://bugs.php.net/bug.php?id=77385', 'https://bugs.php.net/bug.php?id=77394', 'https://bugs.php.net/bug.php?id=77418', 'https://bugs.php.net/bug.php?id=77247', 'https://bugs.php.net/bug.php?id=77242', 'https://bugs.php.net/bug.php?id=77380', 'WID-SEC-2022-2127', 'CB-K19/0166', 'CB-K17/1252', 'CB-K17/0318', 'CB-K17/0232', 'CB-K17/0182', 'DFN-CERT-2022-2638', 'DFN-CERT-2020-2398', 'DFN-CERT-2020-1078', 'DFN-CERT-2020-0898', 'DFN-CERT-2020-0680', 'DFN-CERT-2019-2283', 'DFN-CERT-2019-1737', 'DFN-CERT-2019-1181', 'DFN-CERT-2019-0804', 'DFN-CERT-2019-0698', 'DFN-CERT-2019-0434', 'DFN-CERT-2019-0368', 'DFN-CERT-2019-0313', 'DFN-CERT-2019-0241', 'DFN-CERT-2019-0212', 'DFN-CERT-2017-1295', 'DFN-CERT-2017-0325', 'DFN-CERT-2017-0234', 'DFN-CERT-2017-0179', 'cve: CVE-2016-5399', 'cve: CVE-2016-6207', 'cve: CVE-2016-6288', 'cve: CVE-2016-6289', 'cve: CVE-2016-6290', 'cve: CVE-2016-6291', 'cve: CVE-2016-6292', 'cve: CVE-2016-6294', 'cve: CVE-2016-6295', 'cve: CVE-2016-6296', 'cve: CVE-2016-6297', 'url: http://php.net/ChangeLog-5.php', 'url: http://www.securityfocus.com/bid/92111', 'url: http://www.securityfocus.com/bid/92074', 'url: http://www.securityfocus.com/bid/92097', 'url: http://www.securityfocus.com/bid/92073', 'url: http://www.securityfocus.com/bid/92078', 'url: http://www.securityfocus.com/bid/92115', 'url: http://www.securityfocus.com/bid/92094', 'url: http://www.securityfocus.com/bid/92095', 'url: http://www.securityfocus.com/bid/92099', 'url: http://php.net/ChangeLog-7.php', 'url: http://openwall.com/lists/oss-security/2016/07/24/2', 'cert-bund: CB-K17/1252', 'cert-bund: CB-K17/1011', 'cert-bund: CB-K16/1776', 'cert-bund: CB-K16/1722', 'cert-bund: CB-K16/1549', 'cert-bund: CB-K16/1499', 'cert-bund: CB-K16/1458', 'cert-bund: CB-K16/1452', 'cert-bund: CB-K16/1440', 'cert-bund: CB-K16/1407', 'cert-bund: CB-K16/1345', 'cert-bund: CB-K16/1283', 'cert-bund: CB-K16/1257', 'cert-bund: CB-K16/1248', 'cert-bund: CB-K16/1235', 'cert-bund: CB-K16/1233', 'cert-bund: CB-K16/1179', 'cert-bund: CB-K16/1130', 'cve: CVE-2016-5766', 'cve: CVE-2016-5767', 'cve: CVE-2016-5768', 'cve: CVE-2016-5769', 'cve: CVE-2016-5772', 'cve: CVE-2016-5773', 'url: http://www.php.net/ChangeLog-5.php', 'url: http://www.securityfocus.com/bid/91397', 'url: http://www.securityfocus.com/bid/91398', 'url: http://www.securityfocus.com/bid/91399', 'url: http://www.securityfocus.com/bid/91396', 'url: http://www.securityfocus.com/bid/91395', 'url: http://www.php.net/ChangeLog-7.php', 'cert-bund: CB-K17/1575', 'cert-bund: CB-K17/1461', 'cert-bund: CB-K16/1868', 'cert-bund: CB-K16/1629', 'cert-bund: CB-K16/1600', 'cert-bund: CB-K16/1230', 'cert-bund: CB-K16/1115', 'cert-bund: CB-K16/1106', 'cert-bund: CB-K16/1077', 'cert-bund: CB-K16/1070', 'cert-bund: CB-K16/1045', 'cert-bund: CB-K16/1030', 'cert-bund: CB-K16/0975', 'cert-bund: CB-K16/0966', 'cert-bund: CB-K16/0965', 'dfn-cert: DFN-CERT-2021-0715', 'dfn-cert: DFN-CERT-2020-2741', 'dfn-cert: DFN-CERT-2018-0576', 'cve: CVE-2016-4537', 'cve: CVE-2016-4538', 'cve: CVE-2016-4539', 'cve: CVE-2016-4540', 'cve: CVE-2016-4541', 'cve: CVE-2016-4542', 'cve: CVE-2016-4543', 'cve: CVE-2016-4544', 'url: http://www.securityfocus.com/bid/89844', 'url: http://www.securityfocus.com/bid/90172', 'url: http://www.securityfocus.com/bid/90173', 'url: http://www.securityfocus.com/bid/90174', 'cert-bund: CB-K16/0944', 'cert-bund: CB-K16/0912', 'cert-bund: CB-K16/0909', 'cert-bund: CB-K16/0868', 'cert-bund: CB-K16/0779', 'cert-bund: CB-K16/0774', 'cert-bund: CB-K16/0760', 'dfn-cert: DFN-CERT-2016-1882', 'dfn-cert: DFN-CERT-2016-1004', 'dfn-cert: DFN-CERT-2016-0972', 'dfn-cert: DFN-CERT-2016-0960', 'dfn-cert: DFN-CERT-2016-0924', 'dfn-cert: DFN-CERT-2016-0835', 'dfn-cert: DFN-CERT-2016-0827', 'dfn-cert: DFN-CERT-2016-0814', 'url: https://www.php.net/']",[],[],[],OPENVAS,llama4,openvas_acgpiano_sqli-labs,172.31.1.107,,,,,,,
"PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Linux",['PHP is prone to multiple vulnerabilities.'],"['Installed version: 5.5.9', 'Fixed version: 8.1.29']",['Checks if a vulnerable version is present on the target host.'],['cpe:/a:php:php:5.5.9'],[],"['Update to version 8.1.29, 8.2.20, 8.3.8 or later.']","['The following vulnerabilities exist:', '- CVE-2024-4577: Argument injection in PHP-CGI (bypass of CVE-2012-1823)', '- CVE-2024-5458: Filter bypass in lter_var FILTER_VALIDATE_URL', '- CVE-2024-5585: Bypass of CVE-2024-1874']",[],['9.8'],80.0,tcp,CRITICAL,"['cve: CVE-2024-4577', 'cve: CVE-2024-5458', 'cve: CVE-2024-5585', 'url: https://www.php.net/ChangeLog-8.php#8.1.29', 'url: https://www.php.net/ChangeLog-8.php#8.2.20', 'url: https://www.php.net/ChangeLog-8.php#8.3.8', 'url: https://github.com/php/php-src/security/advisories/GHSA-3qgc-jrrr-25jv', 'url: https://github.com/php/php-src/security/advisories/GHSA-9fcc-425m-g385', 'url: https://github.com/php/php-src/security/advisories/GHSA-w8qr-v226-r27w']",[],[],[],OPENVAS,llama4,openvas_acgpiano_sqli-labs,172.31.1.107,,,,,,,
"PHP < 5.6.29, 7.0.x < 7.0.14 DoS Vulnerability - Linux",['PHP is prone to a denial of service (DoS) vulnerability.'],"['Installed version: 5.5.9', 'Fixed version: 5.6.29', 'Installation path / port: 80/tcp']",['Checks if a vulnerable version is present on the target host.'],"['Product: cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)']",[],"['Update to version 5.6.29, 7.0.14 or later.']",['The php_wddx_push_element function in ext/wddx/wddx.c allows remote attackers to cause a denial of service (out-of-bounds read and memory corruption) or possibly have unspecified other impact via an empty boolean element in a wddxPacket XML document.'],[],['9.8'],80.0,tcp,CRITICAL,"['cve: CVE-2016-9935', 'url: https://www.php.net/ChangeLog-7.php#7.0.14', 'url: https://www.php.net/ChangeLog-5.php#5.6.29', 'url: https://bugs.php.net/bug.php?id=73631']",[],[],[],OPENVAS,llama4,openvas_acgpiano_sqli-labs,172.31.1.107,,,,,,,
PHP < 5.6.7 DoS Vulnerability - Linux,['PHP is prone to a denial of service (DoS) vulnerability.'],"['Installed version: 5.5.9', 'Fixed version: 5.6.7']",['Checks if a vulnerable version is present on the target host.'],"['Product: cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)']",['Successfully exploiting this issue allow remote attackers to cause a denial of service.'],['Update to version 5.6.7 or later.'],"[""The aw is due to 'type confusion' issues in 'ext/soap/php_encoding.c', 'ext/soap/php_http.c', and 'ext/soap/soap.c' scripts.""]",[],['9.8'],80.0,tcp,CRITICAL,"['cve: CVE-2016-9935', 'url: https://www.php.net/ChangeLog-7.php#7.0.14', 'url: https://www.php.net/ChangeLog-5.php#5.6.29', 'cert-bund: CB-K17/0527', 'dfn-cert: DFN-CERT-2016-2130']",[],[],[],OPENVAS,llama4,openvas_acgpiano_sqli-labs,172.31.1.107,,,,,,,
"PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Linux",['PHP is prone to multiple vulnerabilities.'],"['Installed version: 5.5.9', 'Fixed version: 7.4.33']",[],['cpe:/a:php:php:5.5.9'],[],"['Update to version 7.4.33, 8.0.25, 8.1.12 or later.']",[],[],['9.8'],80.0,tcp,CRITICAL,"['cve: CVE-2015-4601', 'url: http://www.php.net/ChangeLog-5.php', 'url: http://www.securityfocus.com/bid/75246', 'cert-bund: CB-K16/0944', 'cert-bund: CB-K15/1158', 'cert-bund: CB-K15/1031', 'cert-bund: CB-K15/0966', 'cert-bund: CB-K15/0942', 'cert-bund: CB-K15/0936', 'cert-bund: CB-K15/0854', 'dfn-cert: DFN-CERT-2016-1004', 'dfn-cert: DFN-CERT-2015-1217', 'dfn-cert: DFN-CERT-2015-1083', 'dfn-cert: DFN-CERT-2015-1017', 'dfn-cert: DFN-CERT-2015-0989', 'dfn-cert: DFN-CERT-2015-0983', 'dfn-cert: DFN-CERT-2015-0900']",[],[],[],OPENVAS,llama4,openvas_acgpiano_sqli-labs,172.31.1.107,,,,,,,
