Total vulnerabilidades no vulnnet: 6343
Total vulnerabilidades extraídas: 6700
Acertos: 6101 (96.18%)
Inventadas (no dataset mas não no vulnnet): 599 (8.94%)
Faltantes (no vulnnet mas não no dataset): 242 (3.82%)

--- Inventadas (exemplos) ---
172.30.9.3 | 'favicon.ico' Based Fingerprinting (HTTP) | 1 a mais
172.31.1.35 | 'favicon.ico' Based Fingerprinting (HTTP) | 1 a mais
172.31.1.49 | 'favicon.ico' Based Fingerprinting (HTTP) | 1 a mais
172.31.1.48 | 'favicon.ico' Based Fingerprinting (HTTP) | 1 a mais
172.30.1.3 | 'favicon.ico' Based Fingerprinting (HTTP) | 1 a mais
172.31.1.88 | 'favicon.ico' Based Fingerprinting (HTTP) | 1 a mais
172.31.1.89 | 'favicon.ico' Based Fingerprinting (HTTP) | 1 a mais
172.30.1.1 | 'favicon.ico' Based Fingerprinting (HTTP) | 1 a mais
172.31.1.16 | 'favicon.ico' Based Fingerprinting (HTTP) | 1 a mais
172.31.1.17 | 'favicon.ico' Based Fingerprinting (HTTP) | 1 a mais
172.31.1.61 | Apache ActiveMQ Files Exposed | 1 a mais
172.31.1.61 | Apache ActiveMQ Files Found | 1 a mais
172.31.1.61 | Apache ActiveMQ Fileserver Remote Code Execution Vulnerability | 1 a mais
172.30.1.1 | Apache HTTP Server 'ap_pregsub()' Function Local Denial of Service Vulnerability | 1 a mais
172.31.1.107 | Apache HTTP Server 'mod_auth_digest' DoS Vulnerability - Linux | 1 a mais
172.30.39.1 | Apache HTTP Server 'mod_auth_digest' DoS Vulnerability - Linux | 1 a mais
172.30.9.3 | Apache HTTP Server 'mod_auth_digest' DoS Vulnerability - Linux | 1 a mais
172.30.9.4 | Apache HTTP Server 'mod_auth_digest' DoS Vulnerability - Linux | 1 a mais
172.30.1.4 | Apache HTTP Server 'mod_auth_digest' DoS Vulnerability - Linux | 1 a mais
172.30.7.2 | Apache HTTP Server 'mod_auth_digest' DoS Vulnerability - Linux | 2 a mais
172.30.1.3 | Apache HTTP Server 'mod_auth_digest' DoS Vulnerability - Linux | 1 a mais
172.31.1.94 | Apache HTTP Server 'mod_auth_digest' DoS Vulnerability - Linux | 1 a mais
172.30.9.2 | Apache HTTP Server 'mod_auth_digest' DoS Vulnerability - Linux | 1 a mais
172.30.40.5 | Apache HTTP Server 'mod_auth_digest' DoS Vulnerability - Linux | 1 a mais
172.31.1.107 | Apache HTTP Server 'mod_auth_digest' Multiple Vulnerabilities - Linux | 1 a mais
