Name,cvss,description,detection_method,detection_result,efdec65ce341 login:,host,impact,insight,instances,log_method,metasploit.com,plugin,plugin_details,port,product_detection_result,protocol,references,severity,solution,source,source_file
Services,0.0,"['This plugin performs service detection.', 'Quality of Detection (QoD): 80%']",[],['A MySQL server is running on this port'],,172.31.1.107,[],"['This plugin attempts to guess which service is running on the remote port(s). For instance, it searches for a web server which could listen on another port than 80 or 443 and makes this information available for other check routines.']",[],"['Details: Services', 'OID:1.3.6.1.4.1.25623.1.0.10330', 'Version used: 2025-03-05T05:38:53Z']",,,{},3306,[],tcp,[],LOG,[],OPENVAS,openvas_acgpiano_sqli-labs
Services,0.0,"['This plugin performs service detection.', 'Quality of Detection (QoD): 80%']",[],['A web server is running on this port'],,172.31.1.107,[],"['This plugin attempts to guess which service is running on the remote port(s).', 'For instance, it searches for a web server which could listen on another port than 80 or 443 and makes this information available for other check routines.']",[],"['Details: Services', 'OID:1.3.6.1.4.1.25623.1.0.10330', 'Version used: 2025-03-05T05:38:53Z']",,,{},80,[],tcp,[],LOG,[],OPENVAS,openvas_acgpiano_sqli-labs
Services,0.0,['This plugin performs service detection.'],[],['A web server is running on this port'],,172.31.1.107,[],"['This plugin attempts to guess which service is running on the remote port(s). For instance, it searches for a web server which could listen on another port than 80 or 443 and makes this information available for other check routines.']",[],"['Details: Services', 'OID:1.3.6.1.4.1.25623.1.0.10330', 'Version used: 2025-03-05T05:38:53Z']",,,{},80,[],tcp,[],LOG,[],OPENVAS,openvas_acgpiano_sqli-labs
PHP End of Life (EOL) Detection - Linux,10.0,['The PHP version on the remote host has reached the end of life (EOL) and should not be used anymore.'],"['Checks if an EOL version is present on the target host.', 'Details: PHP End of Life (EOL) Detection - Linux', 'OID:1.3.6.1.4.1.25623.1.0.105889', 'Version used: 2025-09-24T05:39:03Z']","['The """"PHP"""" version on the remote host has reached the end of life.', 'CPE: cpe:/a:php:php:5.5.9', 'Installed version: 5.5.9', 'EOL version: 5.5', 'EOL date: 2016-07-21']",,172.31.1.107,['An EOL version of PHP is not receiving any security updates from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise the security of this host.'],"['Each release branch of PHP is fully supported for two years from its initial stable release. During this period, bugs and security issues that have been reported are fixed and are released in regular point releases.', 'After this two year period of active support, each branch is then supported for an additional year for critical security issues only. Releases during this period are made on an as-needed basis: there may be multiple point releases, or none, depending on the number of reports.', 'Once the three years of support are completed, the branch reaches its end of life and is no longer supported.']",[],[],,,{},80,"['Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722']",tcp,[],Critical,['Update the PHP version on the remote host to a still supported version.'],OPENVAS,openvas_acgpiano_sqli-labs
"PHP < 5.5.37, 5.6.x < 5.6.23 Multiple Vulnerabilities (Aug 2016) - Linux",9.8,['PHP is prone to multiple vulnerabilities.'],['Checks if a vulnerable version is present on the target host.'],"['Installed version: 5.5.9', 'Fixed version: 5.5.37', 'path / port: 80/tcp']",,172.31.1.107,['Successfully exploiting these issues allow remote attackers to cause a denial of service (use-after-free and application crash) or possibly execute arbitrary code or possibly have unspecified other impact via a large integer argument.'],"['The following flaws exist:', """"- The 'spl_array.c' in the SPL extension improperly interacts with the unserialize implementation and garbage collection."""", """"- Integer overflow in the 'SplFileObject::fread' function in 'spl_directory.c' in the SPL extension.""""]",[],[],,,{},80,"['cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)']",tcp,"['https://secure.php.net/supported-versions.php', 'https://secure.php.net/eol.php']",CRITICAL,"['Update to version 5.5.37, 5.6.23 or later.']",OPENVAS,openvas_acgpiano_sqli-labs
PHP Multiple Vulnerabilities (Feb 2019) - Linux,9.8,['PHP is prone to multiple vulnerabilities.'],['Checks if a vulnerable version is present on the target host.'],"['Installed version: 5.5.9', 'Fixed version: 5.6.40', 'path / port: 80/tcp']",,172.31.1.107,[],"['The following flaws exist:', '- Fixed bug #77269 (efree() on uninitialized Heap data in imagescale leads to use-after-free).', '(CVE-2016-10166)', '- Fixed bug #77270 (imagecolormatch Out Of Bounds Write on Heap).', '(CVE-2019-6977)', '- Fixed bug #77370 (Buffer overflow on mb regex functions - fetch_token).', '(CVE-2019-9023)', '- Fixed bug #77371 (heap buffer overflow in mb regex functions - compile_string_node).', '(CVE2019-9023)', '- Fixed bug #77381 (heap buffer overflow in multibyte match_at).', '(CVE-2019-9023)', '- Fixed bug #77382 (heap buffer overflow due to incorrect length in expand_case_fold_string).', '(CVE-2019-9023)', '- Fixed bug #77385 (buffer overflow in fetch_token).', '(CVE-2019-9023)', '- Fixed bug #77394 (Buffer overflow in multibyte case folding - unicode).', '(CVE-2019-9023)', '- Fixed bug #77418 (Heap overflow in utf32be_mbc_to_code).', '(CVE-2019-9023)', '- Fixed bug #77247 (heap buffer overflow in phar_detect_phar_fname_ext).', '(CVE-2019-9021)', '- Fixed bug #77242 (heap out of bounds read in xmlrpc_decode()).', '(CVE-2019-9020)', '- Fixed bug #77380 (Global out of bounds read in xmlrpc base64 code).', '(CVE-2019-9024)']",[],[],,,{},80,"['Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722)']",tcp,"['cve: CVE-2016-10166', 'cve: CVE-2019-6977']",Critical,"['Update to version 5.6.40, 7.1.16, 7.2.14, 7.3.1 or later.']",OPENVAS,openvas_acgpiano_sqli-labs
"PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Linux",9.8,['PHP is prone to multiple vulnerabilities.'],['Checks if a vulnerable version is present on the target host.'],"['Installed version: 5.5.9', 'Fixed version: 8.1.29', 'path / port: 80/tcp']",,172.31.1.107,[],"['The following vulnerabilities exist:', '- CVE-2024-4577: Argument injection in PHP-CGI (bypass of CVE-2012-1823)', '- CVE-2024-5458: Filter bypass in filter_var FILTER_VALIDATE_URL', '- CVE-2024-5585: Bypass of CVE-2024-1874', 'Note: As of 06/2024 the CVEs CVE-2024-4577 and CVE-2024-5585 are known to be exploitable on Windows systems only.']",[],[],,,{},80,"['Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722']",tcp,"['cve: CVE-2024-4577', 'cve: CVE-2024-5458', 'cve: CVE-2024-5585', 'url: https://www.php.net/ChangeLog-8.php#8.1.29', 'url: https://www.php.net/ChangeLog-8.php#8.2.20', 'url: https://www.php.net/ChangeLog-8.php#8.3.8', 'url: https://github.com/php/php-src/security/advisories/GHSA-3qgc-jrrr-25jv', 'url: https://github.com/php/php-src/security/advisories/GHSA-9fcc-425m-g385', 'url: https://github.com/php/php-src/security/advisories/GHSA-w8qr-v226-r27w', 'url: https://devco.re/blog/2024/06/06/security-alert-cve-2024-4577-php-cgi-argument-injection-vulnerability-en/', 'url: https://blog.orange.tw/2024/06/cve-2024-4577-yet-another-php-rce.html', 'url: https://labs.watchtowr.com/no-way-php-strikes-again-cve-2024-4577/', 'url: https://github.com/watchtowrlabs/CVE-2024-4577', 'url: https://blog.talosintelligence.com/new-persistent-attacks-japan/', 'url: https://www.bitdefender.com/en-us/blog/businessinsights/technical-advisory-update-mass-exploitation-cve-2024-4577', 'url: https://www.cisa.gov/known-exploited-vulnerabilities-catalog', 'cisa: Known Exploited Vulnerability (KEV) catalog', 'cert-bund: WID-SEC-2024-3196', 'cert-bund: WID-SEC-2024-3195', 'cert-bund: WID-SEC-2024-1320', 'dfn-cert: DFN-CERT-2025-1211', 'dfn-cert: DFN-CERT-2024-3330', 'dfn-cert: DFN-CERT-2024-3329', 'dfn-cert: DFN-CERT-2024-2707', 'dfn-cert: DFN-CERT-2024-1853', 'dfn-cert: DFN-CERT-2024-1586', 'dfn-cert: DFN-CERT-2024-1574', 'dfn-cert: DFN-CERT-2024-1563', 'dfn-cert: DFN-CERT-2024-1476']",Critical,"['Update to version 8.1.29, 8.2.20, 8.3.8 or later.']",OPENVAS,openvas_acgpiano_sqli-labs
"PHP < 5.6.29, 7.0.x < 7.0.14 DoS Vulnerability - Linux",9.8,['PHP is prone to a denial of service (DoS) vulnerability.'],['Checks if a vulnerable version is present on the target host.'],"['Installed version: 5.5.9', 'Fixed version: 5.6.29', 'Installation path / port: 80/tcp']",,172.31.1.107,['Successful exploitation may allow remote attackers to cause a denial of service.'],['The php_wddx_push_element function in ext/wddx/wddx.c allows remote attackers to cause a denial of service (out-of-bounds read and memory corruption) or possibly have unspecified other impact via an empty boolean element in a wddxPacket XML document.'],[],[],,,{},80,"['Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722']",tcp,"['cve: CVE-2016-9935', 'url: https://www.php.net/ChangeLog-7.php#7.0.14', 'url: https://www.php.net/ChangeLog-5.php#5.6.29', 'url: https://bugs.php.net/bug.php?id=73631', 'cert-bund: CB-K17/0527', 'cert-bund: CB-K17/0327', 'cert-bund: CB-K17/0269', 'cert-bund: CB-K17/0053', 'cert-bund: CB-K17/0015', 'cert-bund: CB-K16/2015', 'cert-bund: CB-K16/1982', 'dfn-cert: DFN-CERT-2018-0835', 'dfn-cert: DFN-CERT-2017-0532', 'dfn-cert: DFN-CERT-2017-0334', 'dfn-cert: DFN-CERT-2017-0274', 'dfn-cert: DFN-CERT-2017-0058', 'dfn-cert: DFN-CERT-2017-0016', 'dfn-cert: DFN-CERT-2016-2130', 'dfn-cert: DFN-CERT-2016-2084']",CRITICAL,"['Update to version 5.6.29, 7.0.14 or later.']",OPENVAS,openvas_acgpiano_sqli-labs
PHP < 5.6.7 DoS Vulnerability - Linux,9.8,['PHP is prone to a denial of service (DoS) vulnerability.'],['Checks if a vulnerable version is present on the target host.'],"['Installed version: 5.5.9', 'Fixed version: 5.6.7', 'Installation path / port: 80/tcp']",,172.31.1.107,['Successfully exploiting this issue allow remote attackers to cause a denial of service.'],"[""""The flaw is due to 'type confusion' issues in 'ext/soap/php_encoding.c', 'ext/soap/php_http.c', and 'ext/soap/soap.c' scripts.""""]",[],[],,,{},80,"['Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722']",tcp,"['dfn-cert: DFN-CERT-2017-0016', 'dfn-cert: DFN-CERT-2016-2130', 'dfn-cert: DFN-CERT-2016-2084']",CRITICAL,['Update to version 5.6.7 or later.'],OPENVAS,openvas_acgpiano_sqli-labs
"PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Linux",9.8,['PHP is prone to multiple vulnerabilities.'],"['Checks if a vulnerable version is present on the target host.', 'Details: PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Linux', 'OID:1.3.6.1.4.1.25623.1.0.148830', 'Version used: 2025-09-24T05:39:03Z']","['Installed version: 5.5.9', 'Fixed version: 7.4.33', 'path / port: 80/tcp']",,172.31.1.107,[],"['The following vulnerabilities exist:', '- CVE-2022-31630: OOB read due to insufficient input validation in imageloadfont()', '- CVE-2022-37454: Buffer overflow in hash_update() on long parameter']",[],[],,,{},80,"['Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722']",tcp,"['cve: CVE-2022-31630', 'cve: CVE-2022-37454', 'url: https://www.php.net/ChangeLog-7.php#7.4.33', 'url: https://www.php.net/ChangeLog-8.php#8.0.25', 'url: https://www.php.net/ChangeLog-8.php#8.1.12', 'cert-bund: WID-SEC-2023-1021', 'cert-bund: WID-SEC-2023-0561', 'cert-bund: WID-SEC-2023-0138', 'cert-bund: WID-SEC-2022-1934', 'cert-bund: WID-SEC-2022-1816', 'dfn-cert: DFN-CERT-2026-0215', 'dfn-cert: DFN-CERT-2023-0552', 'dfn-cert: DFN-CERT-2023-0422', 'dfn-cert: DFN-CERT-2023-0028', 'dfn-cert: DFN-CERT-2022-2869', 'dfn-cert: DFN-CERT-2022-2793', 'dfn-cert: DFN-CERT-2022-2715', 'dfn-cert: DFN-CERT-2022-2639', 'dfn-cert: DFN-CERT-2022-2638', 'dfn-cert: DFN-CERT-2022-2598', 'dfn-cert: DFN-CERT-2022-2535', 'dfn-cert: DFN-CERT-2022-2523', 'dfn-cert: DFN-CERT-2022-2420', 'dfn-cert: DFN-CERT-2022-2380']",CRITICAL,"['Update to version 7.4.33, 8.0.25, 8.1.12 or later.']",OPENVAS,openvas_acgpiano_sqli-labs
