Name,cvss,description,detection_method,detection_result,http_info,identification,impact,insight,log_method,plugin,port,product_detection_result,protocol,references,severity,solution,source
PHP Unsupported Version Instances (14),[],[],[],[],"[{'request': 'GET /apps/.htpasswd HTTP/2', 'request_headers': ['Host: juice-shop-388277804329.us-west1.run.app', 'Accept-Encoding: gzip, deflate, br', 'User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.6367.207 Safari/537.36', 'Accept: */*', 'Accept-Language: en-US,en;q=0.5', 'Cookie: PHPSESSID=711vt1tpgrucudl1kaq9t074f5'], 'response_headers': ['HTTP/2 403', 'content-type: text/html; charset=iso-8859-1', 'x-cloud-trace-context: 83c24212c96ac336035c2e21a3e7ad45', 'date: Tue, 19 Nov 2024 06:11:54 GMT', 'server: Google Frontend', 'content-length: 487', 'alt-svc: h3=:443; ma=2592000,h3-29=:443; ma=2592000']}, {'request': 'GET /images/.htpasswd HTTP/2', 'request_headers': ['Host: juice-shop-388277804329.us-west1.run.app', 'Accept-Encoding: gzip, deflate, br', 'User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.6367.207 Safari/537.36', 'Accept: */*', 'Accept-Language: en-US,en;q=0.5', 'Cookie: PHPSESSID=711vt1tpgrucudl1kaq9t074f5'], 'response_headers': ['HTTP/2 403', 'content-type: text/html; charset=iso-8859-1', 'x-cloud-trace-context: 09ef83ab7d0dc4ac834837815686bddc', 'date: Tue, 19 Nov 2024 01:05:07 GMT', 'server: Google Frontend', 'content-length: 323', 'alt-svc: h3=:443; ma=2592000,h3-29=:443; ma=2592000']}, {'request': 'GET /soap/.htaccess HTTP/2', 'request_headers': ['Host: juice-shop-388277804329.us-west1.run.app', 'Accept-Encoding: gzip, deflate, br', 'User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.6367.207 Safari/537.36', 'Accept: */*', 'Accept-Language: en-US,en;q=0.5', 'Cookie: PHPSESSID=711vt1tpgrucudl1kaq9t074f5'], 'response_headers': ['HTTP/2 403', 'content-type: text/html; charset=iso-8859-1', 'x-cloud-trace-context: 398ccd0243aa897ed5a68b842664c8ba', 'date: Tue, 19 Nov 2024 01:32:22 GMT', 'server: Google Frontend', 'content-length: 321', 'alt-svc: h3=:443; ma=2592000,h3-29=:443; ma=2592000']}, {'request': 'GET /js/.htpasswd HTTP/2', 'request_headers': ['Host: juice-shop-388277804329.us-west1.run.app', 'Accept-Encoding: gzip, deflate, br', 'User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.6367.207 Safari/537.36', 'Accept: */*', 'Accept-Language: en-US,en;q=0.5', 'Cookie: PHPSESSID=711vt1tpgrucudl1kaq9t074f5'], 'response_headers': ['HTTP/2 403', 'content-type: text/html; charset=iso-8859-1', 'x-cloud-trace-context: c8b8bdb1017d1747ff0b9ab32fae7d77', 'date: Tue, 19 Nov 2024 01:14:09 GMT', 'server: Google Frontend', 'content-length: 319', 'alt-svc: h3=:443; ma=2592000,h3-29=:443; ma=2592000']}, {'request': 'GET /db/.htaccess HTTP/2', 'request_headers': ['Host: juice-shop-388277804329.us-west1.run.app', 'Accept-Encoding: gzip, deflate, br', 'User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.6367.207 Safari/537.36', 'Accept: */*', 'Accept-Language: en-US,en;q=0.5', 'Cookie: PHPSESSID=711vt1tpgrucudl1kaq9t074f5'], 'response_headers': ['HTTP/2 403', 'content-type: text/html; charset=iso-8859-1', 'x-cloud-trace-context: dddbb706207299c69c0a37931cfa1bfa', 'date: Tue, 19 Nov 2024 00:46:45 GMT', 'server: Google Frontend', 'content-length: 319', 'alt-svc: h3=:443; ma=2592000,h3-29=:443; ma=2592000']}, {'request': 'GET /server-status HTTP/2', 'request_headers': ['Host: juice-shop-388277804329.us-west1.run.app', 'Accept-Encoding: gzip, deflate, br', 'User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.6367.207 Safari/537.36', 'Accept: */*', 'Accept-Language: en-US,en;q=0.5', 'Cookie: PHPSESSID=711vt1tpgrucudl1kaq9t074f5'], 'response_headers': ['HTTP/2 403', 'content-type: text/html; charset=iso-8859-1', 'x-cloud-trace-context: 89c7998c1e85f549d9047da3347454bc', 'date: Tue, 19 Nov 2024 00:14:52 GMT', 'server: Google Frontend', 'content-length: 320', 'alt-svc: h3=:443; ma=2592000,h3-29=:443; ma=2592000']}, {'request': 'GET /.htpasswd HTTP/2', 'request_headers': ['Host: juice-shop-388277804329.us-west1.run.app', 'Accept-Encoding: gzip, deflate, br', 'User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.6367.207 Safari/537.36', 'Accept: */*', 'Accept-Language: en-US,en;q=0.5', 'Cookie: PHPSESSID=vpagqnepcomj0eh55jfm27g335'], 'response_headers': ['HTTP/2 403', 'content-type: text/html; charset=iso-8859-1', 'x-cloud-trace-context: 35fc857088e1a73267f73d042d726abb', 'date: Tue, 19 Nov 2024 00:14:56 GMT', 'server: Google Frontend', 'content-length: 316', 'alt-svc: h3=:443; ma=2592000,h3-29=:443; ma=2592000']}]","['https://juice-shop-388277804329.us-west1.run.app/portal.php/', 'https://juice-shop-388277804329.us-west1.run.app/#/', 'https://juice-shop-388277804329.us-west1.run.app/info_install.php', 'https://juice-shop-388277804329.us-west1.run.app/soap/nusoap.php', 'https://juice-shop-388277804329.us-west1.run.app/user_new.php', 'https://juice-shop-388277804329.us-west1.run.app/phpinfo.php', 'https://juice-shop-388277804329.us-west1.run.app/soap/class.wsdlcache.php', 'https://juice-shop-388277804329.us-west1.run.app/portal.php', 'https://juice-shop-388277804329.us-west1.run.app/install.php', 'https://juice-shop-388277804329.us-west1.run.app/soap/class.nusoap_base.php', 'https://juice-shop-388277804329.us-west1.run.app/soap/class.soap_fault.php', 'https://juice-shop-388277804329.us-west1.run.app/info.php', 'https://juice-shop-388277804329.us-west1.run.app/login.php', 'https://juice-shop-388277804329.us-west1.run.app/training_install.php', 'https://juice-shop-388277804329.us-west1.run.app/training.php', 'https://juice-shop-388277804329.us-west1.run.app/apps/.htpasswd', 'https://juice-shop-388277804329.us-west1.run.app/images/.htpasswd', 'https://juice-shop-388277804329.us-west1.run.app/soap/.htaccess', 'https://juice-shop-388277804329.us-west1.run.app/js/.htpasswd', 'https://juice-shop-388277804329.us-west1.run.app/db/.htaccess', 'https://juice-shop-388277804329.us-west1.run.app/server-status', 'https://juice-shop-388277804329.us-west1.run.app/.htpasswd']",[],[],[],[],,[],,[],CRITICAL,[],TENABLEWAS
PHP Unsupported Version,"[7.5, 'CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N']",['PHP has reached end-of-life...'],[],[],[],[],[],[],[],"['Plugin ID: 12345', 'Family: Development']",,[],,['CVE-2023-0000'],CRITICAL,['Update to PHP 8.1 or newer'],TENABLEWAS
Apache 2.4.x < 2.4.27 Multiple Vulnerabilities Instances (1),[],[],[],[],[],"['https://juice-shop-388277804329.us-west1.run.app/', 'https://juice-shop-388277804329.us-west1.run.app/apps/']",[],[],[],[],,[],,[],CRITICAL,[],TENABLEWAS
Apache 2.4.x < 2.4.27 Multiple Vulnerabilities,"[7.5, 'CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N']",['Apache 2.4.x has multiple vulnerabilities...'],[],[],[],[],[],[],[],"['Plugin ID: 12346', 'Family: Web Servers']",,[],,['CVE-2023-0001'],CRITICAL,['Update to Apache 2.4.27 or newer'],TENABLEWAS
Missing HTTP Strict Transport Security Policy Instances (25),[],[],[],[],"[{'request': 'GET https://juice-shop-388277804329.us-west1.run.app/apps/ HTTP/1.1', 'request_headers': ['Accept: */*', 'Accept-Encoding: gzip, deflate, br', 'Accept-Language: en-US,en;q=0.5', 'Cookie: PHPSESSID=711vt1tpgrucudl1kaq9t074f5', 'Priority: u=0, i', 'Sec-Ch-Ua: """"Chromium"""";v=""""124"""", """"HeadlessChrome"""";v=""""124"""", """"Not-A.Brand"""";v=""""99""""', 'Sec-Ch-Ua-Mobile: ?0', 'Sec-Ch-Ua-Platform: """"Linux""""', 'Sec-Fetch-Dest: document', 'Sec-Fetch-Mode: navigate', 'Sec-Fetch-Site: none', 'Sec-Fetch-User: ?1', 'Upgrade-Insecure-Requests: 1', 'User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.6367.207 Safari/537.36'], 'response_headers': ['HTTP/1.1 200 OK', 'Alt-Svc: h3="""""""":443; ma=2592000,h3-29="""""""":443; ma=2592000', 'Content-Encoding: gzip', 'Content-Type: text/html;charset=UTF-8', 'Date: Tue, 19 Nov 2024 00:30:17 GMT', 'Server: Google Frontend', 'Vary: Accept-Encoding', 'X-Cloud-Trace-Context: b57b66949c25563ad77a69e4a354af47', 'Content-Length: 1782']}]","['https://juice-shop-388277804329.us-west1.run.app/', 'https://juice-shop-388277804329.us-west1.run.app/apps/', 'https://juice-shop-388277804329.us-west1.run.app/stylesheets/', 'https://juice-shop-388277804329.us-west1.run.app/documents/', 'https://juice-shop-388277804329.us-west1.run.app/passwords/web.config.bak', 'https://juice-shop-388277804329.us-west1.run.app/soap/nusoap.php', 'https://juice-shop-388277804329.us-west1.run.app/images/', 'https://juice-shop-388277804329.us-west1.run.app/phpinfo.php', 'https://juice-shop-388277804329.us-west1.run.app/db/bwapp.sqlite', 'https://juice-shop-388277804329.us-west1.run.app/js/', 'https://juice-shop-388277804329.us-west1.run.app/soap/class.soap_fault.php', 'https://juice-shop-388277804329.us-west1.run.app/login.php', 'https://juice-shop-388277804329.us-west1.run.app/training_install.php', 'https://juice-shop-388277804329.us-west1.run.app/soap/', 'https://juice-shop-388277804329.us-west1.run.app/db/', 'https://juice-shop-388277804329.us-west1.run.app/passwords/', 'https://juice-shop-388277804329.us-west1.run.app/soap/class.nusoap_base.php', 'https://juice-shop-388277804329.us-west1.run.app/soap/class.wsdlcache.php', 'https://juice-shop-388277804329.us-west1.run.app/install.php', 'https://juice-shop-388277804329.us-west1.run.app/passwords/wp-config.bak', 'https://juice-shop-388277804329.us-west1.run.app/passwords/heroes.xml', 'https://juice-shop-388277804329.us-west1.run.app/info_install.php', 'https://juice-shop-388277804329.us-west1.run.app/#/', 'https://juice-shop-388277804329.us-west1.run.app/portal.php', 'https://juice-shop-388277804329.us-west1.run.app/apps/movie_search']",[],[],[],[],,[],,[],MEDIUM,[],TENABLEWAS
Missing HTTP Strict Transport Security Policy,"[5.0, 'CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N']",['The HTTP Strict Transport Security (HSTS) policy is missing...'],[],[],[],[],[],[],[],"['Plugin ID: 12347', 'Family: HTTP Security']",,[],,['CVE-2023-0002'],MEDIUM,['Add the HSTS policy to the server configuration'],TENABLEWAS
Apache 2.4.x < 2.4.41 Multiple Vulnerabilities,[],"['According to its banner, the version of Apache running on the remote host is 2.4.x prior to 2.4.41.', 'It is, therefore, affected by multiple vulnerabilities:']",[],[],[],[],[],[],[],['Plugin ID: 98669'],,[],,[],CRITICAL,[],TENABLEWAS
Apache 2.4.x < 2.4.41 Multiple Vulnerabilities Instances (1),[],[],[],[],[],['https://juice-shop-388277804329.us-west1.run.app/'],[],[],[],[],,[],,[],CRITICAL,[],TENABLEWAS
Apache 2.4.x < 2.4.26 Multiple Vulnerabilities,"[9.8, 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H']","['According to its banner, the version of Apache running on the remote host is 2.4.x prior to 2.4.26.', 'It is, therefore, affected by the following vulnerabilities :', '- An authentication bypass vulnerability exists due to third-party modules using the ap_get_basic_auth_pw() function outside of the authentication phase.', '- A NULL pointer dereference flaw exists due to third-party module calls to the mod_ssl ap_hook_process_connection() function during an HTTP request to an HTTPS port.', '- A NULL pointer dereference flaw exists in mod_http2 that is triggered when handling a specially crafted HTTP/2 request.', '- An out-of-bounds read error exists in the ap_find_token() function due to improper handling of header sequences.', '- An out-of-bounds read error exists in mod_mime due to improper handling of Content-Type response headers.']",[],[],[],[],[],[],[],"['Plugin ID: 98911', 'Family: Component Vulnerability', 'Publication Date: 2019-01-09T00:00:00+00:00', 'Modification Date: 2023-03-14T00:00:00+00:00']",,[],,"['CVE-2017-3167', 'CVE-2017-3169', 'CVE-2017-7659', 'CVE-2017-7668', 'CVE-2017-7679']",CRITICAL,['Upgrade to Apache version 2.4.26 or later.'],TENABLEWAS
Apache 2.4.x < 2.4.26 Multiple Vulnerabilities Instances (1),[],[],[],[],[],['https://juice-shop-388277804329.us-west1.run.app/apps/'],[],[],[],[],,[],,[],CRITICAL,[],TENABLEWAS
