Name,cvss,description,detection_method,detection_result,host,impact,insight,instances,log_method,plugin,plugin_details,port,product_detection_result,protocol,references,severity,solution,source,source_file
PHP End of Life (EOL) Detection - Linux,['0.0'],['The PHP version on the remote host has reached the end of life (EOL) and should not be used anymore.'],"['Checks if an EOL version is present on the target host.', 'Details: PHP End of Life (EOL) Detection - Linux', 'OID:1.3.6.1.4.1.25623.1.0.105889', 'Version used: 2025-09-24T05:39:03Z']","['The """"PHP"""" version on the remote host has reached the end of life.', 'CPE: cpe:/a:php:php:5.5.9', 'Installed version: 5.5.9', 'EOL version: 5.5', 'EOL date: 2016-07-21']",172.31.1.107,['An EOL version of PHP is not receiving any security updates from the vendor. Unxed security vulnerabilities might be leveraged by an attacker to compromise the security of this host.'],"['Each release branch of PHP is fully supported for two years from its initial stable release. During this period, bugs and security issues that have been reported are xed and are released in regular point releases.', 'After this two year period of active support, each branch is then supported for an additional year for critical security issues only. Releases during this period are made on an as-needed basis: there may be multiple point releases, or none, depending on the number of reports.', 'Once the three years of support are completed, the branch reaches its end of life and is no longer supported.']",[],[],,{},80,"['Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722)']",tcp,"['https://secure.php.net/supported-versions.php', 'https://secure.php.net/eol.php']",Critical,"['Solution type: VendorFix', 'Update the PHP version on the remote host to a still supported version.']",OPENVAS,openvas_acgpiano_sqli-labs
"PHP < 5.5.37, 5.6.x < 5.6.23 Multiple Vulnerabilities (Aug 2016) - Linux",['9.8'],['PHP is prone to multiple vulnerabilities.'],"['Checks if a vulnerable version is present on the target host.', 'Details: PHP < 5.5.37, 5.6.x < 5.6.23 Multiple Vulnerabilities (Aug 2016) - Linux OID:1.3.6.1.4.1.25623.1.0.808790 Version used: 2025-09-24T05:39:03Z']","['Installed version: 5.5.9', 'Fixed version: 5.5.37', 'Installation path / port: 80/tcp']",172.31.1.107,['Successfully exploiting these issues allow remote attackers to cause a denial of service (use-after-free and application crash) or possibly execute arbitrary code or possibly have unspecied other impact via a large integer argument.'],"['The following aws exist:', """"- The 'spl_array.c' in the SPL extension improperly interacts with the unserialize implementation and garbage collection."""", """"- Integer overow in the 'SplFileObject::fread' function in 'spl_directory.c' in the SPL extension.""""]",[],[],,{},80,"['cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)']",tcp,"['cve: CVE-2016-5770', 'cve: CVE-2016-5771', 'url: http://www.php.net/ChangeLog-5.php', 'url: http://www.securityfocus.com/bid/91401', 'url: http://www.securityfocus.com/bid/91403', 'cert-bund: CB-K16/2012', 'cert-bund: CB-K16/1776', 'cert-bund: CB-K16/1452', 'cert-bund: CB-K16/1179', 'cert-bund: CB-K16/1106', 'cert-bund: CB-K16/1070', 'cert-bund: CB-K16/1030', 'cert-bund: CB-K16/0965', 'dfn-cert: DFN-CERT-2018-0576', 'dfn-cert: DFN-CERT-2016-2125', 'dfn-cert: DFN-CERT-2016-1882', 'dfn-cert: DFN-CERT-2016-1541', 'dfn-cert: DFN-CERT-2016-1253', 'dfn-cert: DFN-CERT-2016-1178', 'dfn-cert: DFN-CERT-2016-1139', 'dfn-cert: DFN-CERT-2016-1097', 'dfn-cert: DFN-CERT-2016-1022']",Critical,"['Solution type: VendorFix', 'Update to version 5.5.37, 5.6.23 or later.']",OPENVAS,openvas_acgpiano_sqli-labs
"PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Linux",['7.0'],['PHP is prone to multiple vulnerabilities.'],"['Checks if a vulnerable version is present on the target host.', 'Details: PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Linux', 'OID:1.3.6.1.4.1.25623.1.0.152369', 'Version used: 2025-09-24T05:39:03Z']","['Installed version: 5.5.9', 'Fixed version: 8.1.29', 'Installation path / port: 80/tcp']",172.31.1.107,"['PHP prior to version 8.1.29, version 8.2.x through 8.2.19 and 8.3.x through 8.3.7.']","['The following vulnerabilities exist:', '- CVE-2024-4577: Argument injection in PHP-CGI (bypass of CVE-2012-1823)', '- CVE-2024-5458: Filter bypass in lter_var FILTER_VALIDATE_URL', '- CVE-2024-5585: Bypass of CVE-2024-1874', 'Note: As of 06/2024 the CVEs CVE-2024-4577 and CVE-2024-5585 are known to be exploitable on Windows systems only.']",[],[],,{},80,"['cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)', 'Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722)']",tcp,"['CVE-2024-4577', 'CVE-2024-5458', 'CVE-2024-5585', 'https://www.php.net/ChangeLog-8.php#8.1.29', 'https://www.php.net/ChangeLog-8.php#8.2.20', 'https://www.php.net/ChangeLog-8.php#8.3.8', 'https://github.com/php/php-src/security/advisories/GHSA-3qgc-jrrr-25jv', 'https://github.com/php/php-src/security/advisories/GHSA-9fcc-425m-g385', 'https://github.com/php/php-src/security/advisories/GHSA-w8qr-v226-r27w', 'https://devco.re/blog/2024/06/06/security-alert-cve-2024-4577-php-cgi-argum  ->ent-injection-vulnerability-en/', 'https://blog.orange.tw/2024/06/cve-2024-4577-yet-another-php-rce.html', 'https://labs.watchtowr.com/no-way-php-strikes-again-cve-2024-4577/', 'https://github.com/watchtowrlabs/CVE-2024-457']",Critical,"['Solution type: VendorFix', 'Update to version 8.1.29, 8.2.20, 8.3.8 or later.']",OPENVAS,openvas_acgpiano_sqli-labs
"PHP < 5.6.29, 7.0.x < 7.0.14 DoS Vulnerability - Linux",['7.0'],"['PHP is prone to a denial of service (DoS) vulnerability.', 'Quality of Detection (QoD): 30%']","['Checks if a vulnerable version is present on the target host.', 'Details: PHP < 5.6.29, 7.0.x < 7.0.14 DoS Vulnerability - Linux', 'OID:1.3.6.1.4.1.25623.1.0.117803', 'Version used: 2025-09-24T05:39:03Z']","['Installed version: 5.5.9', 'Fixed version: 5.6.29', 'Installation path / port: 80/tcp']",172.31.1.107,[],['The php_wddx_push_element function in ext/wddx/wddx.c allows remote attackers to cause a denial of service (out-of-bounds read and memory corruption) or possibly have unspecied other impact via an empty boolean element in a wddxPacket XML document.'],[],[],,{},80,"['cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)', 'Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722)']",tcp,"['cve: CVE-2016-9935', 'url: https://www.php.net/ChangeLog-7.php#7.0.14', 'url: https://www.php.net/ChangeLog-5.php#5.6.29', 'url: https://bugs.php.net/bug.php?id=73631', 'cert-bund: CB-K17/0527', 'cert-bund: CB-K17/0327', 'cert-bund: CB-K17/0269', 'cert-bund: CB-K17/0053', 'cert-bund: CB-K17/0015', 'cert-bund: CB-K16/2015', 'cert-bund: CB-K16/1982', 'dfn-cert: DFN-CERT-2018-0835', 'dfn-cert: DFN-CERT-2017-0532', 'dfn-cert: DFN-CERT-2017-0334', 'dfn-cert: DFN-CERT-2017-0274', 'dfn-cert: DFN-CERT-2017-0058', 'dfn-cert: DFN-CERT-2017-0016', 'dfn-cert: DFN-CERT-2016-2130', 'dfn-cert: DFN-CERT-2016-2084']",Critical,"['Solution type: VendorFix', 'Update to version 5.6.29, 7.0.14 or later.']",OPENVAS,openvas_acgpiano_sqli-labs
PHP < 5.6.7 DoS Vulnerability - Linux,['9.8'],"['PHP is prone to a denial of service (DoS) vulnerability.', 'Quality of Detection (QoD): 30%']","['Checks if a vulnerable version is present on the target host.', 'Details: PHP < 5.6.7 DoS Vulnerability - Linux', 'OID:1.3.6.1.4.1.25623.1.0.808673', 'Version used: 2025-09-24T05:39:03Z']","['Installed version: 5.5.9', 'Fixed version: 5.6.7', 'Installation path / port: 80/tcp']",172.31.1.107,['Successfully exploiting this issue allow remote attackers to cause a denial of service.'],"[""""The aw is due to 'type confusion' issues in 'ext/soap/php_encoding.c', 'ext/soap/php_http.c', and 'ext/soap/soap.c' scripts.""""]",[],[],,{},80,"['Product: cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722)']",tcp,"['cve: CVE-2015-4601', 'url: http://www.php.net/ChangeLog-5.php', 'url: http://www.securityfocus.com/bid/75246', 'cert-bund: CB-K16/0944', 'cert-bund: CB-K15/1158', 'cert-bund: CB-K15/1031', 'cert-bund: CB-K15/0966']",CRITICAL,"['Solution type: VendorFix', 'Update to version 5.6.7 or later.']",OPENVAS,openvas_acgpiano_sqli-labs
"PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Linux",['7.0'],['PHP is prone to multiple vulnerabilities.'],"['Checks if a vulnerable version is present on the target host.', 'Details: PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Linux OID:1.3.6.1.4.1.25623.1.0.148830', 'Version used: 2025-09-24T05:39:03Z']","['Quality of Detection (QoD): 30%', 'Installed version: 5.5.9', 'Fixed version: 7.4.33', 'Installation path / port: 80/tcp']",172.31.1.107,"['The following vulnerabilities exist:', '- CVE-2022-31630: OOB read due to insufficient input validation in imageloadfont()', '- CVE-2022-37454: Buffer overflow in hash_update() on long parameter']","['The following vulnerabilities exist:', '- CVE-2022-31630: OOB read due to insufficient input validation in imageloadfont()', '- CVE-2022-37454: Buffer overflow in hash_update() on long parameter']",[],[],,{},80,"['cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)', 'Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722)']",tcp,"['cve: CVE-2022-31630', 'cve: CVE-2022-37454', 'url: https://www.php.net/ChangeLog-7.php#7.4.33', 'url: https://www.php.net/ChangeLog-8.php#8.0.25', 'url: https://www.php.net/ChangeLog-8.php#8.1.12', 'cert-bund: WID-SEC-2023-1021', 'cert-bund: WID-SEC-2023-0561', 'cert-bund: WID-SEC-2023-0138', 'cert-bund: WID-SEC-2022-1934', 'cert-bund: WID-SEC-2022-1816', 'dfn-cert: DFN-CERT-2026-0215', 'dfn-cert: DFN-CERT-2023-0552', 'dfn-cert: DFN-CERT-2023-0422', 'dfn-cert: DFN-CERT-2023-0028', 'dfn-cert: DFN-CERT-2022-2869', 'dfn-cert: DFN-CERT-2022-2793', 'dfn-cert: DFN-CERT-2022-2715', 'dfn-cert: DFN-CERT-2022-2639', 'dfn-cert: DFN-CERT-2022-2638', 'dfn-cert: DFN-CERT-2022-2598', 'dfn-cert: DFN-CERT-2022-2535', 'dfn-cert: DFN-CERT-2022-2523', 'dfn-cert: DFN-CERT-2022-2420', 'dfn-cert: DFN-CERT-2022-2380']",Critical,"['Solution type: VendorFix', 'Update to version 7.4.33, 8.0.25, 8.1.12 or later.']",OPENVAS,openvas_acgpiano_sqli-labs
PHP <= 5.6.27 / 7.0.x <= 7.0.12 DoS Vulnerability,['9.8'],['PHP is prone to a denial of service (DoS) vulnerability.'],"['Checks if a vulnerable version is present on the target host.', 'Details: PHP <= 5.6.27 / 7.0.x <= 7.0.12 DoS Vulnerability OID:1.3.6.1.4.1.25623.1.0.117802', 'Version used: 2025-09-24T05:39:03Z']","['Quality of Detection (QoD): 30%', 'Installed version: 5.5.9', 'Fixed version: None', 'Installation path / port: 80/tcp']",172.31.1.107,"['PHP mishandles property modification during __wakeup processing, which allows remote attackers to cause a denial of service or possibly have unspecified other impact via crafted serialized data, as demonstrated by Exception::__toString with DateInterval::__wakeup.']","['PHP mishandles property modification during __wakeup processing, which allows remote attackers to cause a denial of service or possibly have unspecified other impact via crafted serialized data, as demonstrated by Exception::__toString with DateInterval::__wakeup.']",[],[],,{},80,"['cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)', 'Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722)']",tcp,"['cve: CVE-2016-9138', 'url: https://bugs.php.net/bug.php?id=73147', 'cert-bund: CB-K17/0318', 'cert-bund: CB-K16/1943', 'dfn-cert: DFN-CERT-2017-0325', 'dfn-cert: DFN-CERT-2016-2053']",CRITICAL,"['Solution type: WillNotFix', 'No known solution was made available for at least one year since the disclosure of this vulnerability. Likely none will be provided anymore.', 'General solution options are to upgrade to a newer release, disable respective features, remove the product or replace the product by another one.']",OPENVAS,openvas_acgpiano_sqli-labs
PHP <= 7.1.5 Multiple DoS Vulnerabilities,['9.8'],['PHP is prone to multiple denial of service (DoS) vulnerabilities.'],"['Checks if a vulnerable version is present on the target host.', 'Details: PHP <= 7.1.5 Multiple DoS Vulnerabilities', 'Version used: 2025-09-24T05:39:03Z']","['Quality of Detection (QoD): 30%', 'Installed version: 5.5.9', 'Fixed version: None', 'Installation path / port: 80/tcp']",172.31.1.107,"['Affected Software/OS: PHP versions through 7.1.5.', 'The following flaws exist:', """"- CVE-2017-8923: The zend_string_extend function in Zend/zend_string.h does not prevent changes to string objects that result in a negative length, which allows remote attackers to cause a denial of service (application crash) or possibly have unspecified other impact by leveraging a script's use of .= with a long string."""", '- CVE-2017-9119: The i_zval_ptr_dtor function in Zend/zend_variables.h allows attackers to cause a denial of service (memory consumption and application crash) or possibly have unspecified other impact by triggering crafted operations on array data structures.']","['The following flaws exist:', """"- CVE-2017-8923: The zend_string_extend function in Zend/zend_string.h does not prevent changes to string objects that result in a negative length, which allows remote attackers to cause a denial of service (application crash) or possibly have unspecified other impact by leveraging a script's use of .= with a long string."""", '- CVE-2017-9119: The i_zval_ptr_dtor function in Zend/zend_variables.h allows attackers to cause a denial of service (memory consumption and application crash) or possibly have unspecified other impact by triggering crafted operations on array data structures.']",[],[],,{},80,"['cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)', 'Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722)']",tcp,"['url: https://bugs.php.net/bug.php?id=73147', 'cert-bund: CB-K17/0318', 'cert-bund: CB-K16/1943', 'dfn-cert: DFN-CERT-2017-0325', 'dfn-cert: DFN-CERT-2016-2053']",CRITICAL,"['Solution type: WillNotFix', 'No known solution was made available for at least one year since the disclosure of this vulnerability. Likely none will be provided anymore.', 'General solution options are to upgrade to a newer release, disable respective features, remove the product or replace the product by another one.']",OPENVAS,openvas_acgpiano_sqli-labs
"PHP < 8.0.30, 8.1.x < 8.1.22, 8.2.x < 8.2.9 Security Update - Linux",['7.0'],['PHP is prone to multiple vulnerabilities.'],"['Checks if a vulnerable version is present on the target host.', 'Details: PHP < 8.0.30, 8.1.x < 8.1.22, 8.2.x < 8.2.9 Security Update - Linux', 'OID:1.3.6.1.4.1.25623.1.0.170529', 'Version used: 2025-09-24T05:39:03Z']","['Installed version: 5.5.9', 'Fixed version: 8.0.30', 'Installation path / port: 80/tcp', 'Quality of Detection (QoD): 30%']",172.31.1.107,"['PHP prior to version 8.0.30, 8.1.x prior to 8.1.22 and 8.2.x prior to 8.2.9.']","['The following aws exist:', 'CVE-2023-3823: Fixed bug GHSA-3qrf-m4j2-pcrr (Security issue with external entity loading in XML without enabling it)', 'CVE-2023-3824: Fixed bug GHSA-jqcx-ccgc-xwhv (Buer mismanagement in phar_dir_read())']",[],[],,{},80,"['Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)']",tcp,"['CVE-2023-3823', 'CVE-2023-3824', 'https://www.php.net/ChangeLog-8.php#8.1.22', 'https://www.php.net/ChangeLog-8.php#8.0.30', 'https://www.php.net/ChangeLog-8.php#8.2.9', 'https://github.com/php/php-src/security/advisories/GHSA-3qrf-m4j2-pcrr', 'https://github.com/php/php-src/security/advisories/GHSA-jqcx-ccgc-xwhv', 'WID-SEC-2023-2917', 'WID-SEC-2023-2679', 'WID-SEC-2023-1970', 'DFN-CERT-2024-3330', 'DFN-CERT-2024-2681', 'DFN-CERT-2024-0993', 'DFN-CERT-2023-2570', 'DFN-CERT-2023-2542', 'DFN-CERT-2023-1775']",Critical,"['Update to version 8.0.30, 8.1.22, 8.2.9 or later.', 'Solution type: VendorFix']",OPENVAS,openvas_acgpiano_sqli-labs
"PHP < 7.4.28, 8.0.x < 8.0.16, 8.1.x < 8.1.3 Security Update (Feb 2022) - Linux",['9.8'],['PHP released new versions which include a security x.'],"['Checks if a vulnerable version is present on the target host.', 'Details: PHP < 7.4.28, 8.0.x < 8.0.16, 8.1.x < 8.1.3 Security Update (Feb 2022) - Linux', 'OID:1.3.6.1.4.1.25623.1.0.147657', 'Version used: 2025-09-24T05:39:03Z']","['Installed version: 5.5.9', 'Fixed version: 7.4.28', 'Installation path / port: 80/tcp', 'Quality of Detection (QoD): 30%']",172.31.1.107,"['PHP prior to version 7.4.28, 8.0.x through 8.0.15 and 8.1.x through 8.1.2.']",['Fix #81708: UAF due to php_lter_oat() failing for ints.'],[],[],,{},80,"['Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)']",tcp,"['CVE-2021-21708', 'https://www.php.net/ChangeLog-7.php#7.4.28', 'https://www.php.net/ChangeLog-8.php#8.0.16', 'https://www.php.net/ChangeLog-8.php#8.1.3']",CRITICAL,"['Update to version 7.4.28, 8.0.16, 8.1.3 or later.', 'Solution type: VendorFix']",OPENVAS,openvas_acgpiano_sqli-labs
