Name,description,detection_result,detection_method,product_detection_result,impact,solution,insight,log_method,cvss,port,protocol,severity,references,plugin,identification,http_info,source,llm,target,host
PHP End of Life (EOL) Detection - Linux,['The PHP version on the remote host has reached the end of life (EOL) and should not be used anymore.'],"['The ""PHP"" version on the remote host has reached the end of life.', 'CPE: cpe:/a:php:php:5.5.9', 'Installed version: 5.5.9', 'EOL version: 5.5', 'EOL date: 2016-07-21']","['Checks if an EOL version is present on the target host.', 'Details: PHP End of Life (EOL) Detection - Linux', 'OID:1.3.6.1.4.1.25623.1.0.105889', 'Version used: 2025-09-24T05:39:03Z']","['Product: cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)', 'Product detection result: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722']","['An EOL version of PHP is not receiving any security updates from the vendor.', 'Unfixed security vulnerabilities might be leveraged by an attacker to compromise the security of this host.']","['Solution type: VendorFix', 'Update the PHP version on the remote host to a still supported version.']","['Each release branch of PHP is fully supported for two years from its initial stable release.', 'During this period, bugs and security issues that have been reported are fixed and are released in regular point releases.', 'After this two year period of active support, each branch is then supported for an additional year for critical security issues only.', 'Releases during this period are made on an as-needed basis: there may be multiple point releases, or none, depending on the number of reports.', 'Once the three years of support are completed, the branch reaches its end of life and is no longer supported.']",[],['2.0'],,,LOW,"['https://secure.php.net/supported-versions.php', 'https://secure.php.net/eol.php']",[],[],[],OPENVAS,gpt5,openvas_acgpiano_sqli-labs,172.31.1.107
"PHP < 5.5.37, 5.6.x < 5.6.23 Multiple Vulnerabilities (Aug 2016) - Linux",['PHP is prone to multiple vulnerabilities.'],"['Installed version: 5.5.9', 'Fixed version: 5.5.37', 'Installation path / port: 80/tcp', 'path / port: 80/tcp']","['Checks if a vulnerable version is present on the target host.', 'Details: PHP < 5.5.37, 5.6.x < 5.6.23 Multiple Vulnerabilities (Aug 2016) - Linux', 'Details: PHP < 5.5.37, 5.6.x < 5.6.23 Multiple Vulnerabilities (Aug 2016) - Linux OID:1.3.6.1.4.1.25623.1.0.808790 Version used: 2025-09-24T05:39:03Z Product Detection Result Product: cpe:/a:php:php:5.5.9 Method: PHP Detection Consolidation OID: 1.3.6.1.4.1.25623.1.0.171722)']","['Product: cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)', 'Method: PHP Detection Consolidation', 'cpe:/a:php:php:5.5.9']","['Successfully exploiting these issues allow remote attackers to cause a denial of service (use-after-free and application crash) or possibly execute arbitrary code or possibly have unspecified other impact via a large integer argument.', 'Successfully exploiting these issues allow remote attackers to cause a denial of service (use-after-free and application crash) or possibly execute arbitrary code or possibly have unspecied other impact via a large integer argument.']","['Solution type: VendorFix', 'Update to version 5.5.37, 5.6.23 or later.']","['The following flaws exist:', ""- The 'spl_array.c' in the SPL extension improperly interacts with the unserialize implementation and garbage collection."", ""- Integer overflow in the 'SplFileObject::fread' function in 'spl_directory.c' in the SPL extension."", 'The following aws exist:', ""The 'spl_array.c' in the SPL extension improperly interacts with the unserialize implementation and garbage collection."", ""Integer overow in the 'SplFileObject::fread' function in 'spl_directory.c' in the SPL extension.""]",[],['9.8'],80.0,tcp,CRITICAL,"['https://secure.php.net/supported-versions.php', 'https://secure.php.net/eol.php', 'cve: CVE-2016-5770', 'cve: CVE-2016-5771', 'url: http://www.php.net/ChangeLog-5.php', 'url: http://www.securityfocus.com/bid/91401', 'url: http://www.securityfocus.com/bid/91403', 'cert-bund: CB-K16/2012', 'cert-bund: CB-K16/1776', 'cert-bund: CB-K16/1452', 'cert-bund: CB-K16/1179', 'cert-bund: CB-K16/1106', 'cert-bund: CB-K16/1070', 'cert-bund: CB-K16/1030', 'cert-bund: CB-K16/0965', 'dfn-cert: DFN-CERT-2018-0576', 'dfn-cert: DFN-CERT-2016-2125', 'dfn-cert: DFN-CERT-2016-1882', 'dfn-cert: DFN-CERT-2016-1541', 'dfn-cert: DFN-CERT-2016-1253', 'dfn-cert: DFN-CERT-2016-1178', 'dfn-cert: DFN-CERT-2016-1139', 'dfn-cert: DFN-CERT-2016-1097', 'dfn-cert: DFN-CERT-2016-1022']",[],[],[],OPENVAS,gpt5,openvas_acgpiano_sqli-labs,172.31.1.107
PHP Multiple Vulnerabilities (Feb 2019) - Linux,['PHP is prone to multiple vulnerabilities.'],"['Installed version: 5.5.9', 'Fixed version: 5.5.37', 'path / port: 80/tcp']","['Checks if a vulnerable version is present on the target host.', 'Details: PHP < 5.5.37, 5.6.x < 5.6.23 Multiple Vulnerabilities (Aug 2016) - Linux OID:1.3.6.1.4.1.25623.1.0.808790 Version used: 2025-09-24T05:39:03Z Product Detection Result Product: cpe:/a:php:php:5.5.9 Method: PHP Detection Consolidation OID: 1.3.6.1.4.1.25623.1.0.171722)']","['cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)', 'Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation']",['Successfully exploiting these issues allow remote attackers to cause a denial of service (use-after-free and application crash) or possibly execute arbitrary code or possibly have unspecied other impact via a large integer argument.'],"['Solution type: VendorFix', 'Update to version 5.5.37, 5.6.23 or later.']","['The following aws exist:', ""The 'spl_array.c' in the SPL extension improperly interacts with the unserialize implementation and garbage collection."", ""Integer overow in the 'SplFileObject::fread' function in 'spl_directory.c' in the SPL extension.""]",[],['9.8'],80.0,tcp,CRITICAL,"['cve: CVE-2016-5770', 'cve: CVE-2016-5771', 'url: http://www.php.net/ChangeLog-5.php', 'url: http://www.securityfocus.com/bid/91401', 'url: http://www.securityfocus.com/bid/91403', 'cert-bund: CB-K16/2012', 'cert-bund: CB-K16/1776', 'cert-bund: CB-K16/1452', 'cert-bund: CB-K16/1179', 'cert-bund: CB-K16/1106', 'cert-bund: CB-K16/1070', 'cert-bund: CB-K16/1030', 'cert-bund: CB-K16/0965', 'dfn-cert: DFN-CERT-2018-0576', 'dfn-cert: DFN-CERT-2016-2125', 'dfn-cert: DFN-CERT-2016-1882', 'dfn-cert: DFN-CERT-2016-1541', 'dfn-cert: DFN-CERT-2016-1253', 'dfn-cert: DFN-CERT-2016-1178', 'dfn-cert: DFN-CERT-2016-1139', 'dfn-cert: DFN-CERT-2016-1097', 'dfn-cert: DFN-CERT-2016-1022']",[],[],[],OPENVAS,gpt5,openvas_acgpiano_sqli-labs,172.31.1.107
PHP Multiple Vulnerabilities (Feb 2019) - Linux,"['PHP is prone to multiple vulnerabilities.', 'Quality of Detection (QoD): 30%']","['Installed version: 5.5.9', 'Fixed version: 5.6.40', 'Installation', 'path / port: 80/tcp']","['Checks if a vulnerable version is present on the target host.', 'Details: PHP Multiple Vulnerabilities (Feb 2019) - Linux', 'OID:1.3.6.1.4.1.25623.1.0.142048', 'Version used: 2025-09-24T05:39:03Z']","['cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)', 'Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722']",[],"['Solution type: VendorFix', 'Update to version 5.6.40, 7.1.16, 7.2.14, 7.3.1 or later.']","['The following aws exist:', '- Fixed bug #77269 (efree() on uninitialized Heap data in imagescale leads to use-after-free). (CVE-2016-10166)', '- Fixed bug #77270 (imagecolormatch Out Of Bounds Write on Heap). (CVE-2019-6977)', '- Fixed bug #77370 (Buer overow on mb regex functions - fetch_token). (CVE-2019-9023)', '- Fixed bug #77371 (heap buer overow in mb regex functions - compile_string_node). (CVE-2019-9023)', '- Fixed bug #77381 (heap buer overow in multibyte match_at). (CVE-2019-9023)', '- Fixed bug #77382 (heap buer overow due to incorrect length in expand_case_fold_string). (CVE-2019-9023)', '- Fixed bug #77385 (buer overow in fetch_token). (CVE-2019-9023)', '- Fixed bug #77394 (Buer overow in multibyte case folding - unicode). (CVE-2019-9023)', '- Fixed bug #77418 (Heap overow in utf32be_mbc_to_code). (CVE-2019-9023)', '- Fixed bug #77247 (heap buer overow in phar_detect_phar_fname_ext). (CVE-2019-9021)', '- Fixed bug #77242 (heap out of bounds read in xmlrpc_decode()). (CVE-2019-9020)', '- Fixed bug #77380 (Global out of bounds read in xmlrpc base64 code). (CVE-2019-9024)']",[],['9.8'],,,CRITICAL,"['cve: CVE-2016-10166', 'cve: CVE-2019-6977', 'cve: CVE-2019-9020', 'cve: CVE-2019-9021', 'cve: CVE-2019-9023', 'cve: CVE-2019-9024', 'url: http://www.php.net/ChangeLog-5.php', 'url: http://www.php.net/ChangeLog-7.php', 'url: https://bugs.php.net/bug.php?id=77269', 'url: https://bugs.php.net/bug.php?id=77270', 'url: https://bugs.php.net/bug.php?id=77370', 'url: https://bugs.php.net/bug.php?id=77371', 'url: https://bugs.php.net/bug.php?id=77381', 'url: https://bugs.php.net/bug.php?id=77382', 'url: https://bugs.php.net/bug.php?id=77385', 'url: https://bugs.php.net/bug.php?id=77394', 'url: https://bugs.php.net/bug.php?id=77418', 'url: https://bugs.php.net/bug.php?id=77247', 'url: https://bugs.php.net/bug.php?id=77242', 'url: https://bugs.php.net/bug.php?id=77380', 'cert-bund: WID-SEC-2022-2127', 'cert-bund: CB-K19/0166', 'cert-bund: CB-K17/1252', 'cert-bund: CB-K17/0318', 'cert-bund: CB-K17/0232', 'cert-bund: CB-K17/0182', 'dfn-cert: DFN-CERT-2022-2638', 'dfn-cert: DFN-CERT-2020-2398', 'dfn-cert: DFN-CERT-2020-1078', 'dfn-cert: DFN-CERT-2020-0898', 'dfn-cert: DFN-CERT-2020-0680', 'dfn-cert: DFN-CERT-2019-2283', 'dfn-cert: DFN-CERT-2019-1737', 'dfn-cert: DFN-CERT-2019-1181', 'dfn-cert: DFN-CERT-2019-0804', 'dfn-cert: DFN-CERT-2019-0698', 'dfn-cert: DFN-CERT-2019-0434', 'dfn-cert: DFN-CERT-2019-0368', 'dfn-cert: DFN-CERT-2019-0313', 'dfn-cert: DFN-CERT-2019-0241', 'dfn-cert: DFN-CERT-2019-0212', 'dfn-cert: DFN-CERT-2017-1295', 'dfn-cert: DFN-CERT-2017-0325', 'dfn-cert: DFN-CERT-2017-0234', 'dfn-cert: DFN-CERT-2017-0179']",[],[],[],OPENVAS,gpt5,openvas_acgpiano_sqli-labs,172.31.1.107
"PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Linux",['PHP is prone to multiple vulnerabilities.'],"['Installed version: 5.5.9', 'Fixed version: 8.1.29', 'Installation path / port: 80/tcp', 'Solution:', 'Solution type: VendorFix', 'Update to version 8.1.29, 8.2.20, 8.3.8 or later.']","['Checks if a vulnerable version is present on the target host.', 'Details: PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Linux', 'OID:1.3.6.1.4.1.25623.1.0.152369', 'Version used: 2025-09-24T05:39:03Z']","['cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)', 'Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722']",[],"['Solution type: VendorFix', 'Update to version 8.1.29, 8.2.20, 8.3.8 or later.']","['The following vulnerabilities exist:', 'CVE-2024-4577: Argument injection in PHP-CGI (bypass of CVE-2012-1823)', 'CVE-2024-5458: Filter bypass in lter_var FILTER_VALIDATE_URL', 'CVE-2024-5585: Bypass of CVE-2024-1874', 'Note: As of 06/2024 the CVEs CVE-2024-4577 and CVE-2024-5585 are known to be exploitable on Windows systems only.']",[],['7.0'],80.0,tcp,HIGH,"['cve: CVE-2024-4577', 'cve: CVE-2024-5458', 'cve: CVE-2024-5585', 'url: https://www.php.net/ChangeLog-8.php#8.1.29', 'url: https://www.php.net/ChangeLog-8.php#8.2.20', 'url: https://www.php.net/ChangeLog-8.php#8.3.8', 'url: https://github.com/php/php-src/security/advisories/GHSA-3qgc-jrrr-25jv', 'url: https://github.com/php/php-src/security/advisories/GHSA-9fcc-425m-g385', 'url: https://github.com/php/php-src/security/advisories/GHSA-w8qr-v226-r27w', 'url: https://devco.re/blog/2024/06/06/security-alert-cve-2024-4577-php-cgi-argument-injection-vulnerability-en/', 'url: https://blog.orange.tw/2024/06/cve-2024-4577-yet-another-php-rce.html', 'url: https://labs.watchtowr.com/no-way-php-strikes-again-cve-2024-4577/', 'url: https://github.com/watchtowrlabs/CVE-2024-4577', 'url: https://blog.talosintelligence.com/new-persistent-attacks-japan/', 'url: https://www.bitdefender.com/en-us/blog/businessinsights/technical-advisory-update-mass-exploitation-cve-2024-4577', 'url: https://www.cisa.gov/known-exploited-vulnerabilities-catalog', 'cisa: Known Exploited Vulnerability (KEV) catalog', 'cert-bund: WID-SEC-2024-3196', 'cert-bund: WID-SEC-2024-3195', 'cert-bund: WID-SEC-2024-1320', 'dfn-cert: DFN-CERT-2025-1211', 'dfn-cert: DFN-CERT-2024-3330', 'dfn-cert: DFN-CERT-2024-3329', 'dfn-cert: DFN-CERT-2024-2707', 'dfn-cert: DFN-CERT-2024-1853', 'dfn-cert: DFN-CERT-2024-1586', 'dfn-cert: DFN-CERT-2024-1574', 'dfn-cert: DFN-CERT-2024-1563', 'dfn-cert: DFN-CERT-2024-1476']",[],[],[],OPENVAS,gpt5,openvas_acgpiano_sqli-labs,172.31.1.107
"PHP < 5.6.29, 7.0.x < 7.0.14 DoS Vulnerability - Linux","['PHP is prone to a denial of service (DoS) vulnerability.', 'Quality of Detection (QoD): 30%']","['Installed version: 5.5.9', 'Fixed version: 5.6.29', 'Installation path / port: 80/tcp', 'Solution type: VendorFix', 'Update to version 5.6.29, 7.0.14 or later.']",['Checks if a vulnerable version is present on the target host.'],"['cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)', 'Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722']",[],"['Solution type: VendorFix', 'Update to version 5.6.29, 7.0.14 or later.']",['The php_wddx_push_element function in ext/wddx/wddx.c allows remote attackers to cause a denial of service (out-of-bounds read and memory corruption) or possibly have unspecied other impact via an empty boolean element in a wddxPacket XML document.'],[],['9.8'],,,CRITICAL,"['cve: CVE-2016-9935', 'url: https://www.php.net/ChangeLog-7.php#7.0.14', 'url: https://www.php.net/ChangeLog-5.php#5.6.29', 'url: https://bugs.php.net/bug.php?id=73631', 'cert-bund: CB-K17/0527', 'cert-bund: CB-K17/0327', 'cert-bund: CB-K17/0269', 'cert-bund: CB-K17/0053', 'cert-bund: CB-K17/0015', 'cert-bund: CB-K16/2015', 'cert-bund: CB-K16/1982', 'dfn-cert: DFN-CERT-2018-0835', 'dfn-cert: DFN-CERT-2017-0532', 'dfn-cert: DFN-CERT-2017-0334', 'dfn-cert: DFN-CERT-2017-0274', 'dfn-cert: DFN-CERT-2017-0058']",[],[],[],OPENVAS,gpt5,openvas_acgpiano_sqli-labs,172.31.1.107
PHP < 5.6.7 DoS Vulnerability - Linux,"['PHP is prone to a denial of service (DoS) vulnerability.', 'Quality of Detection (QoD): 30%']","['Installed version: 5.5.9', 'Fixed version: 5.6.7', 'Installation path / port: 80/tcp', 'Solution type: VendorFix', 'Update to version 5.6.7 or later.', 'path / port: 80/tcp']","['Checks if a vulnerable version is present on the target host.', 'Details: PHP < 5.6.7 DoS Vulnerability - Linux', 'OID:1.3.6.1.4.1.25623.1.0.808673', 'Version used: 2025-09-24T05:39:03Z']","['Product: cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)', 'Method: PHP Detection Consolidation', 'cpe:/a:php:php:5.5.9']",['Successfully exploiting this issue allow remote attackers to cause a denial of service.'],"['Solution type: VendorFix', 'Update to version 5.6.7 or later.']","[""The aw is due to 'type confusion' issues in 'ext/soap/php_encoding.c', 'ext/soap/php_http.c', and 'ext/soap/soap.c' scripts.""]",[],['9.8'],80.0,tcp,CRITICAL,"['dfn-cert: DFN-CERT-2017-0016', 'dfn-cert: DFN-CERT-2016-2130', 'dfn-cert: DFN-CERT-2016-2084', 'cve: CVE-2015-4601', 'url: http://www.php.net/ChangeLog-5.php', 'url: http://www.securityfocus.com/bid/75246', 'cert-bund: CB-K16/0944', 'cert-bund: CB-K15/1158', 'cert-bund: CB-K15/1031', 'cert-bund: CB-K15/0966', 'cert-bund: CB-K15/0942', 'cert-bund: CB-K15/0936', 'cert-bund: CB-K15/0854', 'dfn-cert: DFN-CERT-2016-1004', 'dfn-cert: DFN-CERT-2015-1217', 'dfn-cert: DFN-CERT-2015-1083', 'dfn-cert: DFN-CERT-2015-1017', 'dfn-cert: DFN-CERT-2015-0989', 'dfn-cert: DFN-CERT-2015-0983', 'dfn-cert: DFN-CERT-2015-0900']",[],[],[],OPENVAS,gpt5,openvas_acgpiano_sqli-labs,172.31.1.107
"PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Linux",['PHP is prone to multiple vulnerabilities.'],"['Installed version: 5.5.9', 'Fixed version: 7.4.33', 'path / port: 80/tcp']","['Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)', 'Checks if a vulnerable version is present on the target host.']","['cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)']",[],"['Solution type: VendorFix', 'Update to version 7.4.33, 8.0.25, 8.1.12 or later.']",[],[],['9.8'],80.0,tcp,CRITICAL,"['cve: CVE-2015-4601', 'url: http://www.php.net/ChangeLog-5.php', 'url: http://www.securityfocus.com/bid/75246', 'cert-bund: CB-K16/0944', 'cert-bund: CB-K15/1158', 'cert-bund: CB-K15/1031', 'cert-bund: CB-K15/0966', 'cert-bund: CB-K15/0942', 'cert-bund: CB-K15/0936', 'cert-bund: CB-K15/0854', 'dfn-cert: DFN-CERT-2016-1004', 'dfn-cert: DFN-CERT-2015-1217', 'dfn-cert: DFN-CERT-2015-1083', 'dfn-cert: DFN-CERT-2015-1017', 'dfn-cert: DFN-CERT-2015-0989', 'dfn-cert: DFN-CERT-2015-0983', 'dfn-cert: DFN-CERT-2015-0900']",[],[],[],OPENVAS,gpt5,openvas_acgpiano_sqli-labs,172.31.1.107
"PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Linux",['PHP is prone to multiple vulnerabilities.'],"['Installed version: 5.5.9', 'Fixed version: 7.4.33', 'Installation path / port: 80/tcp']","['Checks if a vulnerable version is present on the target host.', 'Details: PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Linux OID:1.3.6.1.4.1.25623.1.0.148830', 'Version used: 2025-09-24T05:39:03Z']","['cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)', 'Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722)']",[],"['Solution type: VendorFix', 'Update to version 7.4.33, 8.0.25, 8.1.12 or later.']","['Aected Software/OS   PHP prior to version 7.4.33, version 8.0.x through 8.0.24 and 8.1.x through 8.1.11.', 'The following vulnerabilities exist:', '- CVE-2022-31630: OOB read due to insucient input validation in imageloadfont()', '- CVE-2022-37454: Buer overow in hash_update() on long parameter']",[],['9.8'],,,CRITICAL,"['cve: CVE-2022-31630', 'cve: CVE-2022-37454', 'url: https://www.php.net/ChangeLog-7.php#7.4.33', 'url: https://www.php.net/ChangeLog-8.php#8.0.25', 'url: https://www.php.net/ChangeLog-8.php#8.1.12', 'cert-bund: WID-SEC-2023-1021', 'cert-bund: WID-SEC-2023-0561', 'cert-bund: WID-SEC-2023-0138', 'cert-bund: WID-SEC-2022-1934', 'cert-bund: WID-SEC-2022-1816', 'dfn-cert: DFN-CERT-2026-0215', 'dfn-cert: DFN-CERT-2023-0552', 'dfn-cert: DFN-CERT-2023-0422', 'dfn-cert: DFN-CERT-2023-0028', 'dfn-cert: DFN-CERT-2022-2869', 'dfn-cert: DFN-CERT-2022-2793', 'dfn-cert: DFN-CERT-2022-2715', 'dfn-cert: DFN-CERT-2022-2639', 'dfn-cert: DFN-CERT-2022-2638', 'dfn-cert: DFN-CERT-2022-2598', 'dfn-cert: DFN-CERT-2022-2535', 'dfn-cert: DFN-CERT-2022-2523', 'dfn-cert: DFN-CERT-2022-2420', 'dfn-cert: DFN-CERT-2022-2380']",[],[],[],OPENVAS,gpt5,openvas_acgpiano_sqli-labs,172.31.1.107
PHP <= 5.6.27 / 7.0.x <= 7.0.12 DoS Vulnerability,['PHP is prone to a denial of service (DoS) vulnerability.'],"['Installed version: 5.5.9', 'Fixed version: None', 'Installation', 'path / port: 80/tcp']","['Checks if a vulnerable version is present on the target host.', 'Details: PHP <= 5.6.27 / 7.0.x <= 7.0.12 DoS Vulnerability', 'OID:1.3.6.1.4.1.25623.1.0.117802', 'Version used: 2025-09-24T05:39:03Z']","['cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)', 'Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722)']",[],"['Solution type: WillNotFix', 'No known solution was made available for at least one year since the disclosure of this vulnerability. Likely none will be provided anymore.', 'General solution options are to upgrade to a newer release, disable respective features, remove the product or replace the product by another one.']","['PHP mishandles property modification during __wakeup processing, which allows remote attackers to cause a denial of service or possibly have unspecified other impact via crafted serialized data, as demonstrated by Exception::__toString with DateInterval::__wakeup.']",[],['9.8'],80.0,tcp,CRITICAL,"['CVE-2016-9138: https://bugs.php.net/bug.php?id=73147', 'cert-bund: CB-K17/0318', 'cert-bund: CB-K16/1943', 'dfn-cert: DFN-CERT-2017-0325', 'dfn-cert: DFN-CERT-2016-2053']",[],[],[],OPENVAS,gpt5,openvas_acgpiano_sqli-labs,172.31.1.107
